車站_中文,車站_英文
松山機場,Songshan Airport 
中山國中,Zhongshan Junior High School
南京復興,Nanjing Fuxing
忠孝復興,Zhongxiao Fuxing
大安,Daan
科技大樓,Technology Building
六張犁,Liuzhangli
麟光,Linguang
辛亥,Xinhai
萬芳醫院,Wanfang Hospital
萬芳社區,Wanfang Community
木柵,Muzha
動物園,Taipei Zoo
大直,Dazhi 
劍南路,Jiannan Rd. 
西湖,Xihu
港墘,Gangqian 
文德,Wende 
內湖,Neihu 
大湖公園,Dahu Park 
葫洲,Huzhou 
東湖,Donghu 
南港軟體園區,Nangang Software Park
南港展覽館,Taipei Nangang Exhibition Center
小碧潭,Xiaobitan
新店,Xindian 
新店區公所,Xindian District Office
七張,Qizhang
大坪林,Dapinglin 
景美,Jingmei 
萬隆,Wanlong 
公館,Gongguan 
台電大樓,Taipower Building 
古亭,Guting 
中正紀念堂,Chiang Kai-Shek Memorial Hall
小南門,Xiaonanmen
頂溪,Dingxi 
永安市場,Yongan Market 
景安,Jingan 
南勢角,Nanshijiao 
台大醫院,NTU Hospital
台北車站,Taipei Main Station
中山,Zhongshan 
雙連,Shuanglian 
民權西路,Minquan W. Rd. 
圓山,Yuanshan
劍潭,Jiantan 
士林,Shilin 
芝山,Zhishan
明德,Mingde
石牌,Shipai
唭哩岸,Qilian
奇岩,Qiyan 
北投,Beitou
新北投,Xinbeitou
復興崗,Fuxinggang
忠義,Zhongyi 
關渡,Guandu 
竹圍,Zhuwei
紅樹林,Hongshulin
淡水,Tamsui
頂埔,Dingpu
永寧,Yongning
土城,Tucheng
海山,Haishan
亞東醫院,Far Eastern Hospital
府中,Fuzhong
BL板橋,"Banqiao
(Bannan Line)"
新埔,Xinpu
江子翠,Jiangzicui
龍山寺,Longshan Temple
西門,Ximen 
善導寺,Shandao Temple
忠孝新生,Zhongxiao Xinsheng
忠孝敦化,Zhongxiao Dunhua
國父紀念館,Sun Yat-Sen Memorial Hall
市政府,Taipei City Hall
永春,Yongchun
後山埤,Houshanpi
昆陽,Kunyang
南港,Nangang 
象山,Xiangshan
台北101/世貿,Taipei 101/World Trade Center
信義安和,Xinyi Anhe
大安森林公園,Daan Park
北門,Beimen
松江南京,Songjiang Nanjing
台北小巨蛋,Taipei Arena
南京三民,Nanjing Sanmin
松山,Songshan
輔大,Fu Jen University
新莊,Xinzhuang
頭前庄,Touqianzhuang 
先嗇宮,Xianse Temple 
三重,Sanchong 
菜寮,Cailiao 
台北橋,Taipei Bridge 
大橋頭,Daqiaotou
中山國小,Zhongshan Elementary School
行天宮,Xingtian Temple 
東門,Dongmen 
蘆洲,Luzhou 
三民高中,Sanmin Senior High School 
徐匯中學,St. Ignatius High School
三和國中,Sanhe Junior High School 
三重國小,Sanchong Elementary School 
迴龍,Huilong 
丹鳳,Danfeng
十四張,Shisizhang
秀朗橋,Xiulang Bridge
景平,Jingping
中和,Zhonghe
橋和,Qiaohe
中原,Zhongyuan
板新,Banxin
Y板橋,"Banqiao
(Circular Line)"
新埔民生,Xingpu Minsheng
幸福,Xingfu
新北產業園區,New Taipei Industrial Park